"","HR"
"1",0.023620967642538
"2",0.0439274728435239
"3",0.0542296777908294
"4",0.0413985143238562
"5",0.0271305059516165
"6",0.0283319997535421
"7",0.0383696446916869
"8",0.0280273958163819
"9",0.0279015420308267
"10",0.0396239587704229
"11",0.0291405837506447
"12",0.0270570779851575
"13",0.0489324884538038
"14",0.0206621866494988
"15",0.050559733239596
"16",0.0264421909210206
"17",0.030644355984273
"18",0.0518810425315857
"19",0.0307819439728779
"20",0.0407659125586114
"21",0.0231971937654893
"22",0.021598754266333
"23",0.0410275446272347
"24",0.0267019461189165
"25",0.0409819827233039
"26",0.0546689582525355
"27",0.0278680085498534
"28",0.0307349826814989
"29",0.0355861397059847
"30",0.024498192824574
"31",0.033997800149139
"32",0.0258172392444888
"33",0.0438629933745466
"34",0.0310166705036716
"35",0.0675807980730697
"36",0.0540707324613742
"37",0.0328232104100123
"38",0.0349479930914119
"39",0.0515978898047717
"40",0.0249840086437018
"41",0.045505496633658
"42",0.0425556071020351
"43",0.0488664127330439
"44",0.0245194889523118
"45",0.0338136869350952
"46",0.0247439967020043
"47",0.05775833367495
"48",0.0261765631593093
"49",0.0386491669101848
"50",0.0487247791745766
"51",0.033349244880258
"52",0.0424398723383418
"53",0.01914809604481
"54",0.0288067074064044
"55",0.0222492500818795
"56",0.028305548041784
"57",0.0230915086483085
"58",0.0287035497999954
"59",0.0310543358932413
"60",0.0549691238103485
"61",0.0343770445954441
"62",0.0196998440600735
"63",0.0297050414375203
"64",0.0247069844134941
"65",0.0462309082972444
"66",0.025769993136018
"67",0.0174352141855762
"68",0.0428263261320316
"69",0.0314138161628184
"70",0.0314225364732805
"71",0.0294991165336867
"72",0.0263249506397207
"73",0.0254043900823511
"74",0.0423763415099475
"75",0.0266762752558295
"76",0.035373834427572
"77",0.0496081230703228
"78",0.0206183439149831
"79",0.0175249470781449
"80",0.0196909725683186
"81",0.0370403502503359
"82",0.0271632161260302
"83",0.0358100784922566
"84",0.0418941465497486
"85",0.0372540641565333
"86",0.0256566002592919
"87",0.0198904704777091
"88",0.0244243876023014
"89",0.023862055928769
"90",0.0266316969543678
"91",0.0337414399267027
"92",0.0374155993933346
"93",0.0522375438366898
"94",0.0369611558433336
"95",0.0360136309706572
"96",0.018896156189136
"97",0.0397600955608192
"98",0.0436464644132127
"99",0.0416864527104031
"100",0.0425650969349289
