"","HR"
"1",0.145649360859137
"2",0.153623434541273
"3",0.185468696833777
"4",0.120868611990755
"5",0.226030407359549
"6",0.133407712732498
"7",0.15232941752073
"8",0.136828483326077
"9",0.096482730683281
"10",0.0616209200673061
"11",0.122471271511416
"12",0.0856060636853622
"13",0.105744749880094
"14",0.333621417740723
"15",0.172607002822201
"16",0.11083973009692
"17",0.0931229853837678
"18",0.114202512633999
"19",0.169617432657982
"20",0.1215610596658
"21",0.0684021281562925
"22",0.12483147077599
"23",0.100601967187384
"24",0.112643306573757
"25",0.106868841161694
"26",0.162303437051509
"27",0.103382154108562
"28",0.0842741136671558
"29",0.195311107645794
"30",0.0877351947181181
"31",0.134655024336504
"32",0.157145418237687
"33",0.160408561752537
"34",0.128460410408943
"35",0.0568957094151066
"36",0.125562275363791
"37",0.135447991231166
"38",0.124208645300982
"39",0.200389191659884
"40",0.0975656889900079
"41",0.138455864739098
"42",0.14095431728019
"43",0.16044542317784
"44",0.117279466334144
"45",0.116908903629206
"46",0.110552541300672
"47",0.0905120678004449
"48",0.207777499736578
"49",0.0697446565691616
"50",0.153672150368766
"51",0.126339943693209
"52",0.101422658845527
"53",0.152622918441746
"54",0.114372036232714
"55",0.142307934364434
"56",0.100767690548479
"57",0.0952782780179271
"58",0.112880314904774
"59",0.130324372119959
"60",0.133648765412381
"61",0.156254514546083
"62",0.1349856307369
"63",0.0935006728492301
"64",0.0998765314125355
"65",0.160759055087087
"66",0.102194011664109
"67",0.117315477164495
"68",0.115476043066426
"69",0.155753773303214
"70",0.0893811723673588
"71",0.0767767463009903
"72",0.133003104064685
"73",0.103115701299328
"74",0.135215901897147
"75",0.10838437574844
"76",0.120879604197018
"77",0.0983971152034036
"78",0.115516584752049
"79",0.187922383765448
"80",0.106456443346553
"81",0.134876811840393
"82",0.139265899709851
"83",0.224823041303296
"84",0.111862166821341
"85",0.133590105900465
"86",0.155613403038862
"87",0.139636971835953
"88",0.13899390860147
"89",0.116477938004882
"90",0.11551829638376
"91",0.136691719433436
"92",0.223061693449306
"93",0.135238196701475
"94",0.095300531534088
"95",0.158368020390441
"96",0.0933138392309326
"97",0.115030777419041
"98",0.121959512958632
"99",0.120956717253554
"100",0.151378740674859
