"","HR"
"1",0.0952323171254136
"2",0.133153971488504
"3",0.0801311675497326
"4",0.0962545959610575
"5",0.153871389648053
"6",0.141102064054981
"7",0.102730432433653
"8",0.107272834316319
"9",0.179954773033537
"10",0.139798525187911
"11",0.0830256852953009
"12",0.118889715186389
"13",0.112852402014055
"14",0.113875464632378
"15",0.119161910259518
"16",0.118428113992316
"17",0.120202788360777
"18",0.114685755139155
"19",0.0966656883443656
"20",0.082412341321797
"21",0.137471408796055
"22",0.161816785866064
"23",0.110546001342131
"24",0.142571564866582
"25",0.0931193579531278
"26",0.083516924457409
"27",0.0777178450893228
"28",0.099315875152778
"29",0.0536170775674176
"30",0.139099837071791
"31",0.127548954600384
"32",0.0942801490175395
"33",0.078125773488185
"34",0.0740378190089613
"35",0.0997458025668334
"36",0.138082342882147
"37",0.085672284499129
"38",0.172250401923249
"39",0.0915021413583009
"40",0.0827825331290643
"41",0.126959025522195
"42",0.152356953481444
"43",0.102822050764091
"44",0.0754648776475102
"45",0.113188037359427
"46",0.136128442419412
"47",0.138414085811769
"48",0.109281267637489
"49",0.106029828343804
"50",0.114294170242775
"51",0.165835176010503
"52",0.0800663952791368
"53",0.163004947551426
"54",0.0917406448304559
"55",0.111136067357373
"56",0.0694792614009389
"57",0.11520887213769
"58",0.0679726580873359
"59",0.0901278851142238
"60",0.11940002629266
"61",0.120467332929769
"62",0.108996207236448
"63",0.132155533871714
"64",0.165490540702669
"65",0.121514265449331
"66",0.15261426273878
"67",0.0871463925753268
"68",0.113387308577659
"69",0.0921333036097613
"70",0.0852931500816277
"71",0.0742129188148991
"72",0.102886869846922
"73",0.117348728587224
"74",0.125803996545249
"75",0.0723808366942373
"76",0.15045905308292
"77",0.116384586707068
"78",0.146868038507883
"79",0.0717971512469437
"80",0.0969969280407474
"81",0.120978199597434
"82",0.113052271389902
"83",0.107241830389234
"84",0.0832497382050689
"85",0.154215681494673
"86",0.112332975098617
"87",0.124652293480699
"88",0.100434446802165
"89",0.0787507021422728
"90",0.0589740826949146
"91",0.116952754576585
"92",0.0703902949379269
"93",0.12465011759883
"94",0.10655485926156
"95",0.122924602117231
"96",0.0986008179752586
"97",0.0849860384165118
"98",0.105672751170747
"99",0.0775630411794729
"100",0.0916447907844154
