"","HR"
"1",0.0211457039871132
"2",0.0144422303126719
"3",0.0193020987972989
"4",0.0118171534971212
"5",0.0279298579280564
"6",0.0238749484191491
"7",0.0227349683330363
"8",0.0158267253204599
"9",0.0136174591477009
"10",0.020671289564619
"11",0.0137947940345419
"12",0.0166572928994433
"13",0.0132697659827409
"14",0.014509783766027
"15",0.0114647621797411
"16",0.0150796966260018
"17",0.0194033095630995
"18",0.014464268602405
"19",0.0154710276412457
"20",0.010759186381229
"21",0.0152461304644159
"22",0.0159511952850977
"23",0.0123421495300021
"24",0.0157563622625774
"25",0.013973370334092
"26",0.0215850956832892
"27",0.0128189958152871
"28",0.0184904793746644
"29",0.0148263576512301
"30",0.0126942623400329
"31",0.0119698404041703
"32",0.0183801581029689
"33",0.0173508095432411
"34",0.0114617854504721
"35",0.0126623174731542
"36",0.0125959639765815
"37",0.0172818416195975
"38",0.0156921637114492
"39",0.0160303396779078
"40",0.0158068329080007
"41",0.0154533354248102
"42",0.0125700050999884
"43",0.0171945740641137
"44",0.0206760604289911
"45",0.0134204672178188
"46",0.0163586155626459
"47",0.0202739906122501
"48",0.0162583481586103
"49",0.0166950383973886
"50",0.0213429721462601
"51",0.0168779074443074
"52",0.0131363077801084
"53",0.0104812593331309
"54",0.0127120856560811
"55",0.0139078770921442
"56",0.0186416873665315
"57",0.020314105661559
"58",0.0165154788320012
"59",0.0150903812602631
"60",0.0189473685648487
"61",0.0110772078306341
"62",0.0234945683596935
"63",0.019433889652898
"64",0.0173988559058013
"65",0.0120844184329932
"66",0.0179968889454653
"67",0.0196298683623677
"68",0.0172625653312821
"69",0.0124006788845459
"70",0.0169844558982095
"71",0.0180195719223492
"72",0.0223303832281945
"73",0.0133786509619339
"74",0.0100238795514672
"75",0.0114131584340207
"76",0.0191526378310036
"77",0.017664354445568
"78",0.0170237623338912
"79",0.0146393498384175
"80",0.0274929773153345
"81",0.0129268263438777
"82",0.0116912971596407
"83",0.0139934740856751
"84",0.0116312987208366
"85",0.0168571168569073
"86",0.0217601942275302
"87",0.0182122704711058
"88",0.0133609043599048
"89",0.0220339315607883
"90",0.0175394010199957
"91",0.0208563372022748
"92",0.0162225064773409
"93",0.014570534428778
"94",0.012796123624396
"95",0.0149107796835482
"96",0.0152404785863472
"97",0.0139434933187182
"98",0.0215714054685759
"99",0.0228696265116076
"100",0.0178889801228308
