"","HR"
"1",0.011457262297722
"2",0.0154067018162804
"3",0.0136155858842277
"4",0.0160454786884663
"5",0.0196226935213053
"6",0.0165965974902694
"7",0.0111172832007925
"8",0.0168623251881377
"9",0.0123948263746496
"10",0.017175413484071
"11",0.0245093338432767
"12",0.0207490990887164
"13",0.0221726770170295
"14",0.0185641825485537
"15",0.0194314297524964
"16",0.0231973527334012
"17",0.0186764386418814
"18",0.0198866301591923
"19",0.0196119654624986
"20",0.0226763311871021
"21",0.0153812092279795
"22",0.0188155444956249
"23",0.0172305459577996
"24",0.0188240321465636
"25",0.0185862636946239
"26",0.0190059631458805
"27",0.0148594632191509
"28",0.0218240111686638
"29",0.0203910770678712
"30",0.0168340802237695
"31",0.0222260139121523
"32",0.0177640234128851
"33",0.0145798328047354
"34",0.0117653813458125
"35",0.019696776562871
"36",0.024298353228204
"37",0.0154572348140002
"38",0.0229138233753884
"39",0.0161776781926398
"40",0.0157664998419482
"41",0.0156093445404863
"42",0.0151512665859012
"43",0.0132221749367773
"44",0.0163885911995129
"45",0.0176943521571428
"46",0.0202610146113116
"47",0.0145602905477842
"48",0.0143537708318495
"49",0.0173797125632531
"50",0.0142144388129861
"51",0.020051565899719
"52",0.0146428046987172
"53",0.0192294360246319
"54",0.021730456413973
"55",0.0159740418259832
"56",0.0202645906615939
"57",0.0132285095829643
"58",0.0105528450165678
"59",0.0212731153983663
"60",0.0143135422059831
"61",0.0214563556183752
"62",0.0165676515988007
"63",0.0174297089412524
"64",0.0143730503661144
"65",0.0289293693122749
"66",0.0196090375855142
"67",0.0163570661112459
"68",0.0191906736429528
"69",0.0142860582222702
"70",0.0205373526284076
"71",0.015193316782164
"72",0.0156724463372584
"73",0.0132999420599826
"74",0.0126078387948729
"75",0.0243227869069858
"76",0.0132643088234779
"77",0.0144865052905876
"78",0.0150732964007053
"79",0.019853714149307
"80",0.0194845266990519
"81",0.0118340105467543
"82",0.0253916421943484
"83",0.015240395314337
"84",0.0156279735265394
"85",0.0145653902345471
"86",0.0203990086735908
"87",0.018849184100329
"88",0.0137849840431273
"89",0.0132846824992502
"90",0.0225762250551284
"91",0.014294028836108
"92",0.0162574357333543
"93",0.0154034159441728
"94",0.0187516515720988
"95",0.0203856053723285
"96",0.0163733685964968
"97",0.0190739751068029
"98",0.0146089662221784
"99",0.0110868081456647
"100",0.0159323007209794
