"","HR"
"1",0.184704596229355
"2",0.187639820221023
"3",0.116534332487881
"4",0.0808799465911136
"5",0.174980401711523
"6",0.141121709134571
"7",0.104930059079765
"8",0.264399349833453
"9",0.146786105487911
"10",0.193702109390577
"11",0.0649388660667095
"12",0.107806308717217
"13",0.131391398991656
"14",0.122345653640586
"15",0.127147917740985
"16",0.11917910373992
"17",0.156670283950947
"18",0.182614344011821
"19",0.105495637368602
"20",0.159302014955801
"21",0.183482237750968
"22",0.110140504193139
"23",0.186349197033787
"24",0.197521630463313
"25",0.0953841979941149
"26",0.103260778914685
"27",0.101095342020084
"28",0.104559722962273
"29",0.139015765500883
"30",0.0824979298050469
"31",0.121842844288151
"32",0.0840668184140801
"33",0.154229686958376
"34",0.0633952903573441
"35",0.196640718569397
"36",0.0600568624355854
"37",0.139519782514408
"38",0.155585600297848
"39",0.103796091002819
"40",0.112855400879684
"41",0.192753172182036
"42",0.14513323701433
"43",0.0951060392361986
"44",0.141018262088525
"45",0.112991751048288
"46",0.0992193454683336
"47",0.11750143924269
"48",0.13904552649422
"49",0.121561984794157
"50",0.179120197358684
"51",0.120869389137918
"52",0.0869235697702262
"53",0.0935218992945486
"54",0.097539800585636
"55",0.158850653890498
"56",0.17638846484154
"57",0.0759090445457285
"58",0.0971590079595022
"59",0.0528212060784223
"60",0.0985789368357825
"61",0.0584559347476187
"62",0.111681737480893
"63",0.114806770127213
"64",0.11386010870361
"65",0.136192245704149
"66",0.141509843562862
"67",0.0717868045301384
"68",0.134796441177399
"69",0.148505505353015
"70",0.120081410826399
"71",0.110022143526462
"72",0.187730430081864
"73",0.102538165486645
"74",0.155003462740602
"75",0.0856315790028478
"76",0.124451449961694
"77",0.123203388172782
"78",0.162413887722318
"79",0.192534156217161
"80",0.079693435955281
"81",0.109811607060137
"82",0.111848675465755
"83",0.120418165052559
"84",0.130418394536054
"85",0.103097857757646
"86",0.200228452715039
"87",0.133671925864035
"88",0.065233526107858
"89",0.137796209058702
"90",0.138593449551432
"91",0.203146527966929
"92",0.104497306607919
"93",0.180314491804
"94",0.190433257787109
"95",0.208751758175583
"96",0.111223447790631
"97",0.146711953598466
"98",0.152261684219179
"99",0.0899225068085991
"100",0.157479213887677
