"","HR"
"1",0.109570356347643
"2",0.107575438671976
"3",0.125480959384352
"4",0.163899675594216
"5",0.143702639872371
"6",0.136430425516976
"7",0.119633871278646
"8",0.0998169867722453
"9",0.105313870504791
"10",0.0826124552948383
"11",0.108361211859614
"12",0.115472202378471
"13",0.108187395045611
"14",0.127247843405791
"15",0.108892432423627
"16",0.190792141515231
"17",0.116401941958118
"18",0.157667572870835
"19",0.0793113678406561
"20",0.138391452273514
"21",0.0831609562406093
"22",0.155876218955257
"23",0.104822900631671
"24",0.102060559854807
"25",0.0932731640942458
"26",0.118868625571505
"27",0.0960020105428837
"28",0.148101576957574
"29",0.103688314848814
"30",0.093983820665584
"31",0.0949129564338154
"32",0.0698917796891474
"33",0.104737540949655
"34",0.0773673491634092
"35",0.0948248622018264
"36",0.0973405617757753
"37",0.102072580994392
"38",0.133812255797745
"39",0.0959623331197249
"40",0.0582836110299966
"41",0.085770333147901
"42",0.163332551081795
"43",0.12129882938773
"44",0.131003275464029
"45",0.107598986323725
"46",0.102336964773475
"47",0.0387101388867868
"48",0.0751442971578176
"49",0.0897240285001403
"50",0.0906770495096283
"51",0.154585080862421
"52",0.102644135729247
"53",0.104294029624835
"54",0.0813821379915978
"55",0.126128080057313
"56",0.121724432421762
"57",0.12625218754314
"58",0.169252480122862
"59",0.0616717822724567
"60",0.117318502847141
"61",0.113877690600557
"62",0.134961082323265
"63",0.105220938339758
"64",0.108268226866935
"65",0.117013147154877
"66",0.0948304702236376
"67",0.133888852039019
"68",0.0977215237595461
"69",0.0853588033538251
"70",0.187507736030642
"71",0.120784604743302
"72",0.151492231193597
"73",0.117731073896722
"74",0.0926556228457034
"75",0.0968740719524912
"76",0.0886164940763552
"77",0.111061078469412
"78",0.0991930666521214
"79",0.102282638219016
"80",0.0740025941641678
"81",0.132179939385448
"82",0.0797391076766601
"83",0.154987864506069
"84",0.0953582569402566
"85",0.138570580067411
"86",0.0908128530398804
"87",0.147409404846039
"88",0.129157686412197
"89",0.177638926071831
"90",0.0813314098159643
"91",0.0795975405052356
"92",0.0856925725373651
"93",0.186449202626652
"94",0.125097070578545
"95",0.114227920333186
"96",0.117771663367888
"97",0.0787993385772689
"98",0.159733214430397
"99",0.106215905650026
"100",0.168603217244165
