"","dates","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"8761",2009-01-01 00:00:00,1,0,13.3652906417847,13.326171875,56.6580848693848,56.8028793334961,1.14862740039825,3.06315016746521,0,0,0.607037901878357,90,0,-1.01959228515625,0,0,0,0
"8762",2009-01-01 01:00:00,1,60,13.2861442565918,13.2775001525879,61.481330871582,61.5159797668457,0.975214421749115,2.60069370269775,0,0,0,90,0,-0.709991455078125,0,0,0,0
"8763",2009-01-01 02:00:00,1,120,13.1309900283813,13.2288284301758,66.6538467407227,66.2290802001953,0.801801443099976,2.1382372379303,0,0,0,90,0,-0.426300048828125,0,0,0,0
"8764",2009-01-01 03:00:00,1,180,13.0203828811646,13.1801567077637,71.6868667602539,70.9421768188477,0.426086068153381,1.13628268241882,0,0,0,90,0,-0.1689453125,0,0,0,0
"8765",2009-01-01 04:00:00,1,240,13.0032768249512,13.1314849853516,77.8408126831055,77.1908187866211,0.348464071750641,0.929281115531921,0,0,0,90,0.00280151073820889,0.161163330078125,0,0,0,0
"8766",2009-01-01 05:00:00,1,300,13.1673965454102,13.19091796875,77.3096237182617,77.1908187866211,0.493344008922577,1.31564545631409,0,0,0,88.4505767822266,16.4206161499023,0.22900390625,0,0,0,0
"8767",2009-01-01 06:00:00,1,360,15.2805423736572,13.937255859375,67.9597244262695,74.1203384399414,0.638223767280579,1.70200979709625,0,0,2.04561257362366,77.3907928466797,193.977264404297,0.980010986328125,0,0,0,0
"8768",2009-01-01 07:00:00,1,420,17.9939498901367,15.3565063476562,57.0870056152344,67.5062408447266,0.78310352563858,2.08837413787842,0,0,1.39845156669617,65.417594909668,417.346527099609,2.3199462890625,0,0,0,0
"8769",2009-01-01 08:00:00,1,480,21.0335445404053,17.2554931640625,48.1118278503418,60.892147064209,0.927983582019806,2.47473835945129,0,0,1.02797472476959,53.1136322021484,637.311401367188,4.20315551757812,0,0,0,0
"8770",2009-01-01 09:00:00,1,540,24.0218391418457,19.3755493164062,40.8559989929199,54.2780494689941,1.07286334037781,2.86110281944275,0,0,0.808963060379028,40.6739730834961,838.609985351562,6.29611206054688,0,0,0,0
"8771",2009-01-01 10:00:00,1,600,26.5494632720947,21.427978515625,35.0403938293457,47.6639556884766,1.21774327754974,3.24746704101562,0,0,0.650936663150787,28.3791007995605,983.058288574219,8.22714233398438,0,0,0,0
"8772",2009-01-01 11:00:00,1,660,28.3150367736816,23.1332397460938,25.3274021148682,34.4357604980469,1.3626229763031,3.6338312625885,0,0,0.615481674671173,17.0338592529297,1074.75378417969,8.83984375,0,0,0,0
"8773",2009-01-01 12:00:00,1,720,29.0698833465576,24.259033203125,25.9431571960449,34.4357604980469,1.65238261222839,4.40655994415283,0,0,0.471983850002289,10.8389234542847,1107.27551269531,10.2082214355469,0,0,0,0
"8774",2009-01-01 13:00:00,1,780,29.3258152008057,24.6521606445312,27.5251655578613,36.2172203063965,1.65238261222839,4.40655994415283,0,0,0.427980244159698,17.0338592529297,1075.32421875,10.9160461425781,0,0,0,0
"8775",2009-01-01 14:00:00,1,840,28.7414360046387,24.259033203125,29.1767902374268,37.9986839294434,1.59664189815521,4.25791072845459,0,0,0.422309428453445,28.3791007995605,980.239013671875,10.6560974121094,0,0,0,0
"8776",2009-01-01 15:00:00,1,900,27.2716217041016,23.1332397460938,31.0951328277588,39.780143737793,1.54090118408203,4.10926198959351,0,0,0.443018466234207,40.6739730834961,835.009460449219,9.49069213867188,0,0,0,0
"8777",2009-01-01 16:00:00,1,960,24.7467784881592,21.427978515625,34.0023918151855,41.5616035461426,1.48516047000885,3.96061301231384,0,0,0.508641064167023,53.1136322021484,633.670288085938,7.60617065429688,0,0,0,0
"8778",2009-01-01 17:00:00,1,1020,21.8146686553955,19.3755493164062,37.2912521362305,43.3430633544922,1.42941963672638,3.8119637966156,0,0,0.595048427581787,65.417594909668,414.371795654297,5.2869873046875,0,0,0,0
"8779",2009-01-01 18:00:00,1,1080,18.6749458312988,17.2554931640625,41.2687377929688,45.1245269775391,1.3736789226532,3.66331505775452,0,0,0.684447586536407,77.3907928466797,192.321334838867,2.87582397460938,0,0,0,0
"8780",2009-01-01 19:00:00,1,1140,15.7736139297485,15.3565063476562,45.6681594848633,46.9059867858887,1.31793797016144,3.51466608047485,0,0,0.673791825771332,88.4505767822266,16.2573852539062,0.72589111328125,0,0,0,0
"8781",2009-01-01 20:00:00,1,1200,13.5908527374268,13.259765625,47.6476593017578,48.6874465942383,1.26219737529755,3.36601686477661,0,0,0.725279450416565,90,0.0027783231344074,-1.6728515625,0,0,0,0
"8782",2009-01-01 21:00:00,1,1260,11.9881973266602,11.6948547363281,49.5008010864258,50.4689102172852,1.20645654201508,3.21736812591553,0,0,0.7057084441185,90,0,-3.43026733398438,0,0,0,0
"8783",2009-01-01 22:00:00,1,1320,10.8291759490967,10.5548095703125,51.303840637207,52.2503700256348,1.1507157087326,3.06871914863586,0,0,0.645784616470337,90,0,-4.67657470703125,0,0,0,0
"8784",2009-01-01 23:00:00,1,1380,9.98020076751709,9.7242431640625,53.1121025085449,54.0318298339844,1.094975233078,2.92007040977478,0,0,0.539632320404053,90,0,-5.55172729492188,0,0,0,0
"8785",2009-01-02 00:00:00,2,0,9.35790824890137,9.119140625,54.9221382141113,55.8132934570312,1.03923439979553,2.77142119407654,0,0,0.802580654621124,90,0,-6.15740966796875,0,0,0,0
"8786",2009-01-02 01:00:00,2,60,8.98899745941162,8.76136779785156,60.8947944641113,61.839038848877,0.893314480781555,2.38228321075439,0,0,0,90,0,-6.15896606445312,0,0,0,0
"8787",2009-01-02 02:00:00,2,120,8.59816360473633,8.40359401702881,66.9753036499023,67.8647842407227,0.747394502162933,1.99314534664154,0,0,0,90,0,-6.20001220703125,0,0,0,0
"8788",2009-01-02 03:00:00,2,180,8.34245777130127,8.04582023620605,72.4154052734375,73.8905334472656,0.358809381723404,0.956869721412659,0,0,0,90,0,-6.27423095703125,0,0,0,0
"8789",2009-01-02 04:00:00,2,240,8.07227802276611,7.68804740905762,75.0797424316406,77.071647644043,0.293090879917145,0.781612277030945,0,0,0,90,0.00266375066712499,-6.61935424804688,0,0,0,0
"8790",2009-01-02 05:00:00,2,300,8.01952457427979,7.6217041015625,75.0093078613281,77.071647644043,0.415134161710739,1.10707628726959,0,0,0,88.4935073852539,16.1074352264404,-6.70135498046875,0,0,0,0
"8791",2009-01-02 06:00:00,2,360,10.2650241851807,8.734130859375,66.0054168701172,73.1650085449219,0.537177383899689,1.43254017829895,0,0,3.13975811004639,77.4339904785156,194.193511962891,-5.55535888671875,0,0,0,0
"8792",2009-01-02 07:00:00,2,420,13.8939971923828,10.8529052734375,52.9744987487793,64.7001953125,0.659220635890961,1.75800406932831,0,0,2.58108377456665,65.4563522338867,419.615631103516,-3.484619140625,0,0,0,0
"8793",2009-01-02 08:00:00,2,480,17.9076919555664,13.6892700195312,42.9294776916504,56.2353897094727,0.781263887882233,2.08346796035767,0,0,1.529625415802,53.1496696472168,642.538757324219,-0.617889404296875,0,0,0,0
"8794",2009-01-02 09:00:00,2,540,22.0940990447998,16.856689453125,34.4896278381348,47.7705764770508,0.903307199478149,2.40893197059631,0,0,1.08872413635254,40.7097206115723,847.458435058594,2.5362548828125,0,0,0,0
"8795",2009-01-02 10:00:00,2,600,25.5339069366455,19.923583984375,27.9679470062256,39.3057632446289,1.02535033226013,2.7343955039978,0,0,0.839196622371674,28.4192028045654,995.561889648438,5.40087890625,0,0,0,0
